Material Name,Material Title,Material Synonyms,Stream Name,Stream Title,Drop Off Instructions,Special Instructions
bed_frame_wood,Bed frame (wood),,reuse,Reuse,,
cd_player,CD player,"Compact disc player,",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
wood,Lumber,"wood, fencing, shelving, shelf, skids, doors, barn wood, base boards, cabinets, decking, pallet, Plywood, wooden boards",edmonton_waste_management_centre_ewmc,EWMC drop-off,,
six-pack_rings,Six pack can holder rings (soft plastic),"Plastic pop can holders, rings, 6-pack, 6 pack, beer,",wizard_garbage,Garbage collection,,
hangers_wire,Clothes hanger (metal),Wire hanger,reuse,Reuse,,
life_jacket,Life jacket,"Lifejacket, Life vest",reuse,Reuse,,
meat_bones,Meat bones,"rib bones, ribs, pork, chicken, beef, fish, poultry,  dog bones, bones,",wizard_food_scraps_collection_test,Food scraps collection,,
bacon_packaging_plastic,Bacon packaging (plastic),Bacon package,wizard_garbage,Garbage collection,,
vcr_player,VCR player,,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
bread,"Bread, spoiled",,wizard_food_scraps_collection_test,Food scraps collection,,
sour_cream_container,Sour cream container,,wizard_recycling_depots,Recycling Depot drop-off,,Rinse container. Place foil lid in garbage and plastic lid in recycling.
egg_shells,Eggshells,"egg shells, , eggshell",wizard_home_composting,Compost at home,,
sink_ceramic_or_porcelain,Sink (ceramic or porcelain),,wizard_reuse_-_building_materials,Reuse (home renovation materials),,
puzzle,Puzzle,,drop-off_-_reuse_centre,Reuse Centre drop-off,,The Reuse Centre accepts puzzles with missing pieces.
frozen_fruit_pouch,Frozen fruit bag (flat),,wizard_recycling_depots,Recycling Depot drop-off,,Stuff plastic bags into one bag and tie closed. This makes them easier to sort and recycle.
pizza_box,Pizza box,pizzabox,wizard_recycling_depots,Recycling Depot drop-off,,Grease spots are OK.  Remove the liner and place it in your garbage. Remove food chunks and place them in your food scraps cart.
butane_cartridge,Butane cartridge,,wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
window_mirror,Windows,,wizard_reuse_-_building_materials,Reuse (home renovation materials),,
air_mattress,Air mattress,"Inflatable bed, inflatible mattress, inflateble mattress",wizard_eco_stations,Eco Station drop-off,,"Item must fit inside your garbage cart with the lid closed.  If it is too large, take it to an <a href=""http://edmonton.ca/ecostation"">Eco Station."
office_supplies,Office supplies,"staples, paper clips, plastic folders, tacks, duotangs, pencils, pencil leads, whiteout, notebook",reuse,Reuse,,
soup_carton,Soup carton,,wizard_recycling_depots,Recycling Depot drop-off,,
metal_cabinet,Metal cabinet,file cabinet,reuse,Reuse,,
candle_jar,Candle jar,", Candle glass",drop-off_-_reuse_centre,Reuse Centre drop-off,,
barbeque,Barbeque,"BBQ, grill, barbecue, barbque, barbecque, Bab-B-Q, barbacue, barbaque, babecue",eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
houseplant,Houseplant,"Plants, Plant, aquatic plants, pointsettia",wizard_home_composting,Compost at home,,
knife,Knife,"Knives, Kitchen knife, chef knife, machete, blade, sharps",eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,Keep waste services staff safe. Box sharp knives if placing in your garbage cart.
travel_mug,Travel mug,,reuse,Reuse,,
dry_cleaning_bag,Dry cleaning bag,drycleaning bag,wizard_recycling_depots,Recycling Depot drop-off,,Stuff plastic bags into one bag and tie closed. This makes them easier to sort and recycle.
styrofoam,Styrofoam,"styrafoam, polystyrene, styrefome, styrofome, styrophome, styrofome, styrophome, styroform, styrophom, strofoam, stryafoam, stryofoam, stirofoam, stryofoam, styrofoan, styerfome, syrofoam, steroform, sytrofoam, styraform, polystrine, polystrrine, styropolene, styofoam, expanded polystyrene packaging, craft expanded polystyrene, construction polystyrene, disposable polystyrene cooler,",wizard_eco_station_drop-off_styrofoam_recycling,Eco Station drop-off (Styrofoam recycling),,
pizza_box,Pizza box,pizzabox,wizard_recycling,Recycling collection,,Grease spots are OK.  Remove the liner and place it in your garbage. Remove food chunks and place them in your food scraps cart.
plastic_hanging_basket,Plastic hanging basket,flower basket,wizard_garbage,Garbage collection,,
broken_glass,Broken glass,Sharps,wizard_garbage,Garbage collection,,Keep waste services staff safe. Box broken glass and place in your garbage cart.
ceramic_tiles_small_number,Ceramic tiles,", Floor tile, Ceramic tile",wizard_reuse_-_building_materials,Reuse (home renovation materials),,"Small tiles are accepted for donation at the <a href=""https://www.edmonton.ca/programs_services/garbage_waste/reuse-centre.aspx"">Reuse Centre."
glow_stick,Glow stick (used),,wizard_garbage,Garbage collection,,
soup_can,Soup can,cambells,wizard_recycling_depots,Recycling Depot drop-off,,"Labels OK. Remove lid, drop into can and squeeze top slightly to keep lid inside."
fabric_softener_container,Fabric softener bottle,fabric softner,wizard_recycling,Recycling collection,,Remove caps or lids and place in garbage.
shredded_paper,Shredded paper,small paper pieces,wizard_recycling_depots,Recycling Depot drop-off,,"To recycle shredded paper, take it to a Recycling Depot. <a href=""https://www.edmonton.ca/programs_services/garbage_waste/recycling-depots.aspx"" Find a Recycling Depot near you. Do not put it in your recycling blue bag or apartment blue bin. It causes problems for the machinery that sorts these mixed recyclables.<br /><br />Otherwise, put shredded paper in your garbage."
chopstick_metal,Chopstick (metal),,reuse,Reuse,,
knife,Knife,"Knives, Kitchen knife, chef knife, machete, blade, sharps",wizard_garbage,Garbage collection,,Keep waste services staff safe. Box sharp knives if placing in your garbage cart.
appliance_small,Appliance (small),"iron, crockpot, popcorn machine, coffee grinder, espresso machine, magic bullet, food slicer, bread slicer, coffee machine, mixer, pressure cooker, ice cream machine, fan, iron, food processor, kettle, bread machine, bread maker, toaster oven, waffle maker, slow cooker, crock pot, deep fryer, heater, Clothes iron, Water pick, Rotesseri, rotisserie, electric coffee percolator, electric fan, electric kettle, paper shredder, table fan, typewriter, soda stream, french press, sodastream, pressure washer, blender, curling iron, steamer, can opener, electric kettle, , electric fan, paper shredder machine, air purifier, blowdryer, air fryer, robot vacumn, used rice cooker, vibrator",reuse,Reuse,,
knife,Knife,"Knives, Kitchen knife, chef knife, machete, blade, sharps",reuse,Reuse,,Keep waste services staff safe. Box sharp knives if placing in your garbage cart.
sports_equipment,Sports equipment,"soccer ball, skates, football, baseball bat, baseball glove, hockey equipment, sporting, hockey stick, Skis, footballs, tennis ball, basketball, badminton racket, hockey net",wizard_garbage,Garbage collection,,
aluminium_can,Aluminum can,"aluminum, alumimum, aluminium, alluminum, Aluminnun",wizard_recycling,Recycling collection,,
record,Record,"vinyl record, LP record",wizard_garbage,Garbage collection,,
hand_soap_container_plastic,Hand soap container (plastic),", soap dispenser, bath and body works soap dispenser, liquid soap container",wizard_recycling_depots,Recycling Depot drop-off,,Remove bottle pump and put it in the garbage.
book_softcover,Book (softcover),"telephone book, phone book, novels, text book, Cookbooks, textbook, books, old books",wizard_recycling,Recycling collection,,
laptop,Laptop,,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
treadmill,Treadmill,Tredmill,reuse,Reuse,,
aluminum_tart_shell,Aluminum tart shell,,drop-off_-_reuse_centre,Reuse Centre drop-off,,
cell_phone,Cell phone,"cellphone, iphone, smart phone",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
duct_tape_roll,Duct tape (roll),duck tape,drop-off_-_reuse_centre,Reuse Centre drop-off,,
automotive_fluids,Automotive fluids,"coolant, engine oil, transmission fluid, car fluids, deisel fuel, diesel fuel",wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
comic_books,Comic book,"comics,",reuse,Reuse,,Reuse Tip: use pages from old comic books as gift wrap.
baby_wipe_container,Baby wipe container,bathroom wipe container (hard plastic),wizard_recycling_depots,Recycling Depot drop-off,,
twist_tie,Twist tie,twisttie,wizard_garbage,Garbage collection,,
cd,CD,"Compact disc, Laser disc, Laserdisc",wizard_garbage,Garbage collection,,
spice_bottle,Spice bottle,,wizard_recycling_depots,Recycling Depot drop-off,,Remove lid before placing in the recycling.
cd_case,CD case,"Compact disc case, Plastic cd cover",wizard_garbage,Garbage collection,,
bag-in-a-box_wine,Bag-in-a-box (wine),"Wine box, boxed wine",bottle_depot,Bottle Depot drop-off,,Box and bag do not need to be separated.
postcard,Postcard,post card,wizard_recycling_depots,Recycling Depot drop-off,,
5-gallon_pail,5-gallon pail,", ridgid plastic pails, plastic pales",wizard_eco_stations,Eco Station drop-off,,
juice_or_drink_pouch,Juice or drink pouch,"stand-up flexible pouches, Capri-Sun, Bibo, Capri Sun, Hi-C, Kool-Aid Jammers",wizard_recycling_depots,Recycling Depot drop-off,,Remove plastic straw and place it in the garbage.
beer_can,Beer can,aluminum can,bottle_depot,Bottle Depot drop-off,,
cigarette_package,Cigarette package,,wizard_recycling,Recycling collection,,Remove plastic wrap and foil liners and place them in the Garbage.
caulking_gun,Caulking gun,,eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
pizza_box_lid_guard,Pizza box lid guard,"Pizza Saver, Pizza Table",wizard_garbage,Garbage collection,,
trampoline,Trampoline,,eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
beads,Beads,pearls,drop-off_-_reuse_centre,Reuse Centre drop-off,,
landscaping_materials,Landscaping materials,"decorative stone, mulch, gravel, rocks",eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
spoiled_fruit,Spoiled fruit,"produce, rhubarb, olives, pumpkin, avocado, squash, grape, tomato, pineapple, pineapple, watermelon, apple, mandarin, tangerine, lemon, lime, grapefruit, apricot, cherries, cherry, pear, mango, bananas, banana, strawberries, peach, kiwi, blueberries, raspberries, berries, dragon fruit, plums, figs, oranges, orange, blackberries, watermelon, fallen fruit",wizard_home_composting,Compost at home,,
inhaler,Inhaler,,wizard_contact_pharmacy,Pharmacy drop-off,,
telephone,Phone,"telephone, old phone",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
cereal_grains,Cereal and grains,"oatmeal, corn meal, porridge, couscous",wizard_food_scraps_collection_test,Food scraps collection,,
hockey_stick,Hockey stick,,wizard_garbage,Garbage collection,,
door,Door,"screen door,",eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
chips_potato_or_tortilla,Chips (potato or tortilla),,wizard_food_scraps_collection_test,Food scraps collection,,
paint_stain,Paint,"paints, paint containers, paint removers, paint sealers, urethane, old paint, acrylic paint",wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,Maximum container size is 20 L.
paint_stir_stick,Paint stir stick,"paint stick, paint paddle, wood paint stick,",wizard_garbage,Garbage collection,,Paint must be dry.
baby_wipe_container,Baby wipe container,bathroom wipe container (hard plastic),wizard_recycling,Recycling collection,,
apples,Apple,"apples, apple core",wizard_food_scraps_collection_test,Food scraps collection,,
cloth_tarp,Tarp,"canvas tarp, cloth tarp, plastic tarp",wizard_garbage,Garbage collection,,
christmas_tree_artifical,Christmas tree (artificial),x-mas tree,reuse,Reuse,,
caulking_tube_empty,Caulking tube (empty),,wizard_garbage,Garbage collection,,
cheese_spoiled,"Cheese, spoiled",,wizard_food_scraps_collection_test,Food scraps collection,,
golf_clubs,Golf clubs,"driver, putter, wedge",reuse,Reuse,,
desktop_computer,Computer,"desktop computer, computer tower",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
drinking_glass,Drinking glass,"cup, glassware",reuse,Reuse,,
luggage,Luggage,"suitcase, suit case, trunk, travel, briefcase",eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
calendar,Calendar,,wizard_recycling,Recycling collection,,Remove plastic or metal binding before placing in recycling.
spool,Spool,,wizard_garbage,Garbage collection,,
television,Television,"TV, television, teve, teevee, big screen TV, flat screen tv",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
construction_paper,Construction paper,"craft paper,",wizard_recycling,Recycling collection,,
paper_ice_cream_carton,Ice cream carton,", icecream",wizard_garbage,Garbage collection,,
crayons,Crayons,waxed crayons,wizard_garbage,Garbage collection,,
vaccum_cleaner,Vacuum cleaner,"vaccum, cordless vacuum, hoover, central vac, roomba, dyson",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
stain,Wood stain,,wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
cereal_box,Cereal box,,wizard_recycling,Recycling collection,,Remove plastic liner and place it in the garbage.
scrap_metal,Scrap metal,"rebar, License plates, Steel, Sheetmetal, sheet metal, garbage can, Metal table, ALUMINUM RODS, stainless steel container, metal mailbox, metal garbage cans, saw blade, biscuit metal box, copper scrap, stainless steel, car door, brass, aluminum cookie cutters, metal ceiling hook, safe, hammer, fishing hooks, metal water bottles, bicycle chain, rims, eaves trough, aluminum water bottles, metal garbage can, empty paint cans",eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
electric_blanket,Electric blanket,"heating pad, heat blanket,",reuse,Reuse,,
washing_machine,Washing machine,Washer,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
eggs,Eggs,,wizard_food_scraps_collection_test,Food scraps collection,,
bath_tub,Bath tub,bathtub,eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
crabapples,Crabapples,crab apples,wizard_food_scraps_collection_test,Food scraps collection,,
glass_bottle,Glass bottle (beverage),Liquor bottles,bottle_depot,Bottle Depot drop-off,,"Remove bottle caps. Take them to the <a href=""http://edmonton.ca/reusecentre"">Reuse Centre or place them in the garbage."
styrofoam_packing_peanuts,Styrofoam packing peanuts,"styrafoam, polystyrene, styrefome, styrofome, styrophome, styrofome, styrophome, styroform, styrophom, strofoam, stryafoam, stryofoam, stirofoam, stryofoam, styrofoan, styerfome, syrofoam, number 6, steroform, sytrofoam, styraform, polystrine, polystrrine,",wizard_garbage,Garbage collection,,
pop_can,Pop can,"Soda can, aluminum can,",wizard_recycling_depots,Recycling Depot drop-off,,
thermometer_digital,Thermometer (digital),,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
basket,Basket,"hamper, creel, wicker basket",wizard_garbage,Garbage collection,,"Wicker baskets are accepted at the <a href=""http://edmonton.ca/reusecentre"" Reuse Centre."
felt,Felt,,drop-off_-_reuse_centre,Reuse Centre drop-off,,
kinder_surprise_capsule,Kinder surprise capsule,,wizard_garbage,Garbage collection,,
tissue_box,Tissue box (empty),"Kleenex, facial tissue box",wizard_recycling_depots,Recycling Depot drop-off,,
laminate_flooring,Laminate flooring,lamniate,wizard_reuse_-_building_materials,Reuse (home renovation materials),,
butter_and_margarine,Butter and margarine,,wizard_food_scraps_collection_test,Food scraps collection,,Remove from packaging before placing in food scraps cart.
candle_jar,Candle jar,", Candle glass",wizard_eco_stations,Eco Station drop-off,,
plastic_clam_shell_container,"Plastic ""clamshell"" container","berry containers, clam shell, fruit in plastic containers, raspberry package, deli plastic container,",wizard_recycling_depots,Recycling Depot drop-off,,
masking_tape,Masking tape,,wizard_garbage,Garbage collection,,"Rolls of masking tape are accepted for donation at the <a href=""https://www.edmonton.ca/programs_services/garbage_waste/reuse-centre.aspx"">Reuse Centre."
wall_clock,Clock,"analog clock, digital clock, alarm clock",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
snow_blower,Snow blower,Snowblower,reuse,Reuse,,
sauce,Sauce,"dipping sauce, pasta sauce, cheese sauce, ranch, soya sauce, sweet and sour sauce, pesto, salsa",wizard_food_scraps_collection_test,Food scraps collection,,
computer_chair,Computer chair,"office chair,",eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
rice,Rice,"cooked rice, raw rice",wizard_food_scraps_collection_test,Food scraps collection,,
garment_bag,Garment bag,,reuse,Reuse,,
bakeware_metal,Bakeware (metal),"baking sheets, cookie sheets, moulds, molds, angel food cake pan, cookie sheet",reuse,Reuse,,
hair,Hair and hair clippings,,wizard_garbage,Garbage collection,,
beverage_carton,Beverage carton,Chai carton,wizard_recycling_depots,Recycling Depot drop-off,,
peanut_butter_jar,Peanut butter jar,,wizard_recycling,Recycling collection,,"Having trouble cleaning your jar? Fill 1/4 of the jar with hot soapy water, replace the lid, and shake the jar for a minute."
windshield_washer_fluid_container,Windshield washer fluid container,,wizard_recycling,Recycling collection,,Remove caps and lids and place in garbage.
pencil_crayon,Pencil crayon,"coloured pencil, colouring pencils",drop-off_-_reuse_centre,Reuse Centre drop-off,,
coffee_grounds_filters,Coffee grounds,"coffee beans, coffee grinds",wizard_food_scraps_collection_test,Food scraps collection,,
cutlery_metal,Cutlery (metal),"fork, knife, spoon, metal utensil, Tableware, silverware",eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
drain_cleaner,Drain cleaner,"draino,",wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
baked_goods,Baked goods,"cookies, cakes, muffins, croissants, strudels, pastries, bagels, donuts, scone, buns, cinnamon rolls, cinnamon buns, turnovers, pies, birthday cake, sandwich",wizard_food_scraps_collection_test,Food scraps collection,,
rubber_band,Rubber band,", Plastic bands",wizard_garbage,Garbage collection,,
stove,Stove,,reuse,Reuse,,
nuts,Nuts and seeds,"pistachios, peanut, peanuts, walnuts, hazelnuts, almonds, sunflower seeds, pumpkin seeds, flax seeds, chia seeds, pomegranate seeds, quinoa, , wild birdseed, bird seed, popcorn kernels, coconut, bird seed",wizard_food_scraps_collection_test,Food scraps collection,,
metal_coffee_basket,Metal coffee basket,"Coffee Basket, Metal basket",eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
juice_box,Juice box,"drinking box, juicebox",bottle_depot,Bottle Depot drop-off,,Remove plastic straw and place it in the garbage.
baseboards,Baseboards,,edmonton_waste_management_centre_ewmc,EWMC drop-off,,
comic_books,Comic book,"comics,",wizard_recycling_depots,Recycling Depot drop-off,,Reuse Tip: use pages from old comic books as gift wrap.
porcelain_dish,Ceramic dishes and cups,"plate, cup, china, tea cup, Porcelain, Dinnerware, dishwear, dishes",reuse,Reuse,,
brochure,Brochure,"pamphlet, leaflet, handbill,",wizard_recycling_depots,Recycling Depot drop-off,,
frying_pan,Frying pan,"teflon pan, metal pan",eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
chocolate,Chocolate,"choclate, choco, cocoa",wizard_food_scraps_collection_test,Food scraps collection,,
bag-in-a-box_wine,Bag-in-a-box (wine),"Wine box, boxed wine",wizard_recycling,Recycling collection,,Box and bag do not need to be separated.
gravy,Gravy,"turkey gravy, chicken gravy, brown gravy,",wizard_food_scraps_collection_test,Food scraps collection,,
band_aids,Band aid,"band-aids, plastic bandaids, fabric bandaids",wizard_garbage,Garbage collection,,
clothes_pegs,Clothespin,Clothes peg,drop-off_-_reuse_centre,Reuse Centre drop-off,,
flower_plant_markers_tags,Flower/plant markers & tags,,wizard_garbage,Garbage collection,,
baby_formula_plastic_tub,Baby formula container (plastic tub),,wizard_recycling_depots,Recycling Depot drop-off,,Remove caps and lids and place in garbage.
playing_cards,Playing cards,,drop-off_-_reuse_centre,Reuse Centre drop-off,,
rice_sack,Rice sack,"rice package, rice bag,",wizard_garbage,Garbage collection,,
table,Table,,reuse,Reuse,,
paint_stripper,Paint stripper,"paint removers, paint sealers, urethane, varsol, solvent",wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
tablet_electronic,Tablet (electronic),"iPad, Surface",reuse,Reuse,,
bricks,Bricks,,eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
magnifying_glass,Magnifying glass,"magifying glass,",drop-off_-_reuse_centre,Reuse Centre drop-off,,
lotion_bottle,Lotion bottle,,wizard_recycling_depots,Recycling Depot drop-off,,Remove pump and put it in the garbage. Rinse container.
ammonia,Ammonia,,wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
twist_tie,Twist tie,twisttie,drop-off_-_reuse_centre,Reuse Centre drop-off,,
fingernails,Nail clippings,"Finger nail, fingernails, toe nail, toenails, nails",wizard_garbage,Garbage collection,,
greeting_card,Greeting card,", christmas cards, christmas cards, used greeting card, corrugated cardboard",drop-off_-_reuse_centre,Reuse Centre drop-off,,"Both new and used greeting cards are accepted for donation at the <a href=""https://www.edmonton.ca/programs_services/garbage_waste/reuse-centre.aspx"">Reuse Centre."
bakery_container_plastic,Plastic bakery container,"Muffin container, cookie container, croissant container, croissont container, crossont container",wizard_recycling_depots,Recycling Depot drop-off,,
chopstick_metal,Chopstick (metal),,eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
broth_carton,Broth carton,"Campbells, soup carton,",wizard_recycling_depots,Recycling Depot drop-off,,
aluminum_pie_plate,Aluminum pie plate,"alumimum, aluminium, alluminum, Aluminnun",wizard_recycling_depots,Recycling Depot drop-off,,
keys,Key,,eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
tree_stump,Tree stump,,wizard_eco_station_-_grass_leafy_and_yard_waste,Eco Station drop-off (yard waste),,
wax,Wax,", craft wax, wax stick",drop-off_-_reuse_centre,Reuse Centre drop-off,,
disposable_gloves,Disposable gloves,"latex gloves, vinyl gloves,",wizard_garbage,Garbage collection,,
coffee_creamer_carton,Coffee creamer carton,"coffee creamer, half & half carton",wizard_recycling_depots,Recycling Depot drop-off,,Rinse container.
paperback_book,Paperback book,"used crossword puzzle book, paper back, soduko",wizard_recycling_depots,Recycling Depot drop-off,,
oil_filter,Oil filter (used),,wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
food_scraps,Food scraps,"left-overs, leftovers, plate scrapings, food waste, peelings, meat, apple, carrot, Apple core, Banana peels, leftover food, pierogies, tofu, gerber lil crunchies, food",wizard_home_composting,Compost at home,,
pet_food_bag,Pet food bag,"cat food bag, dog food bag, pet treat bag, puppy chow bag, catfood bag, petfood bags",wizard_garbage,Garbage collection,,
chainsaw,Chainsaw,chain saw,reuse,Reuse,,
chocolate_box_paper_or_cardboard,Chocolate box (paper or cardboard),,wizard_recycling,Recycling collection,,Remove plastic tray and put it in the garbage.
pool_noodle,Pool noodle,,drop-off_-_reuse_centre,Reuse Centre drop-off,,
plastic_pill_bottle_-_small_transparent_usually_orange_or_blue,"Plastic pill bottle - small transparent (usually orange or blue), empty","Prescription bottles, Drug container, medication container, prescription pill bottles",wizard_garbage,Garbage collection,,
cooking_pots_metal,Cooking pot (metal),"saucepan, cast iron frying pan, cast iron grill",wizard_garbage,Garbage collection,,
hearing_aid,Hearing aid,,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
motor_oil,Motor oil,"car oil, used oil",wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
waterbed_bladder,Waterbed bladder,,eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
printer_ink_cartridge,Printer ink cartridge,"laser cartridges, laser toner, copier ink, used printer toner, laser toner cartridge",wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,Consider reuse! Many local businesses refill empty ink and toner cartridges.
chalk,Chalk,,drop-off_-_reuse_centre,Reuse Centre drop-off,,
condom,Condom,,wizard_garbage,Garbage collection,,Flushing this item down the toilet can clog your sewer line and cause sewage backup in your home and neighbourhood. Thank you for putting it in the garbage.
automotive_parts,Automotive parts,"bumpers, engines, car parts, transmissions, automobile parts, alternator, clutch, Brake drum, Brake rotor, spark plug, brake pads, sparkplug, muffler",wizard_eco_stations,Eco Station drop-off,,
canned_fish,Canned fish,"tuna, salmon, herring, sardines, anchovies,",wizard_food_scraps_collection_test,Food scraps collection,,Rinse can and place in recycling.
paper,Paper,"Computer paper, writing paper, brochure, notebook paper, bills, post-it notes, sticky notes, maps, notepads, reciept, receipt, papper, pamflet, Poster, glossy paper, thermal paper, scrap paper, paper bills, utility bills, crumpled paper, old bank statements, looseleaf paper, drawing paper, sheet music, business card, tea bag labels, paper with ink on it",wizard_recycling,Recycling collection,,
stapler,Stapler,,reuse,Reuse,,
clothes,Clothes,"textiles, pants, socks, t-shirt, t shirt, shorts, clothing, baseball hat, belt, jeans, polyester, running jacket, bib, pajamas, scarf, shirt, coat, Denim, leggings, bra, worn out clothing, dress, torn clothes, snow pants, gloves, underwear,",wizard_garbage,Garbage collection,,
washing_machine,Washing machine,Washer,reuse,Reuse,,
cloth_tarp,Tarp,"canvas tarp, cloth tarp, plastic tarp",reuse,Reuse,,
animal_carcass_large,Animal carcass (large),"animal remains, deer, moose, bear,",,,,"Large animal carcasses are not accepted at any City of Edmonton waste drop-off sites.<br /><br /><a href=""https://www.yellowpages.ca/"">Search the Yellow Pages to find landfills in the Edmonton region that accept large animal carcasses."
laminate_flooring,Laminate flooring,lamniate,eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
fabric_clean,Fabric (clean),"burlap, Cloth, Denim, upholstery, textiles, Cotton, wool",wizard_garbage,Garbage collection,,"Fabric donations to the <a href=""https://www.edmonton.ca/programs_services/garbage_waste/reuse-centre"">Reuse Centre must be a least 0.25 m long."
yarn,Yarn,,drop-off_-_reuse_centre,Reuse Centre drop-off,,
headphones,Headphones,"head phones, ear buds, headfones, earphones, ear phones, earbuds",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
photo_album_page,Photo album page,,drop-off_-_reuse_centre,Reuse Centre drop-off,,
rotor_tiller,Rototiller,"roto tiller, rotary tiller,",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
aluminum_pie_plate,Aluminum pie plate,"alumimum, aluminium, alluminum, Aluminnun",drop-off_-_reuse_centre,Reuse Centre drop-off,,
light_fixture,Light fixture,"lighting, ceiling lamp, decorative lamp,",wizard_eco_stations,Eco Station drop-off,,
pasta_box,Pasta box,,wizard_recycling,Recycling collection,,
extension_cord,Extension cord,,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
bakeware_metal,Bakeware (metal),"baking sheets, cookie sheets, moulds, molds, angel food cake pan, cookie sheet",eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
dishwasher,Dishwasher,,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
couch,Couch,"Sofa, chesterfield",eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
bread_bag_tag,Bread bag tag,,drop-off_-_reuse_centre,Reuse Centre drop-off,,
air_compressor,Air compressor,,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
paper_towel_roll,Cardboard tube,"paper tube, roll, wrapping paper tube, paper towel tube, papertowel, paper towel core",drop-off_-_reuse_centre,Reuse Centre drop-off,,
air_pillow,Air pillow,"packing pillow, air package",drop-off_-_reuse_centre,Reuse Centre drop-off,,Deflate before placing in garbage
hockey_stick,Hockey stick,,reuse,Reuse,,
record,Record,"vinyl record, LP record",reuse,Reuse,,
chocolate_box_paper_or_cardboard,Chocolate box (paper or cardboard),,wizard_recycling_depots,Recycling Depot drop-off,,Remove plastic tray and put it in the garbage.
envelope,Envelope,,reuse,Reuse,,"New/unused envelopes are accepted for donation at the <a href=""http://edmonton.ca/reusecentre"">Reuse Centre."
plastic_detergent_bottle,Laundry detergent bottle,"Woolite, Tide, laundry soap plastic container",wizard_recycling_depots,Recycling Depot drop-off,,Remove cap and place it in the garbage.
styrofoam_tray,Styrofoam tray,foam trays,wizard_garbage,Garbage collection,,
cotton_swab,Cotton swab,"Q-Tips, Qtips, cotton-tipped swab, ear swabs, ear cleaners, , qtips, cue tip",wizard_garbage,Garbage collection,,
fabric_scraps,Fabric scraps,"Textiles, Cloth, upholstery, Cotton",wizard_garbage,Garbage collection,,"Fabric scraps larger than 0.25 m are accepted for donation at the <a href=""https://www.edmonton.ca/programs_services/garbage_waste/reuse-centre"">Reuse Centre."
keychains,Keychain,"key ring,",drop-off_-_reuse_centre,Reuse Centre drop-off,,
